Time,asks,bids,price
2017-12-05 16:03:00 UTC,1669046.23906702,5660776.13886093,11598.0
2017-12-05 16:04:00 UTC,2318025.00380192,5413619.26374844,11591.5
2017-12-05 16:05:00 UTC,2803447.84738219,4893769.548366,11634.5
2017-12-05 16:06:00 UTC,2957188.52180099,4966814.73638337,11652.0
2017-12-05 16:07:00 UTC,3861811.18223448,4297621.05188756,11682.0
2017-12-05 16:08:00 UTC,3519874.18804862,4214308.9275602,11680.0
2017-12-05 16:09:00 UTC,3001077.77818095,5391884.16693538,11651.0
2017-12-05 16:10:00 UTC,3499093.96419295,4752990.49240627,11664.5
2017-12-05 16:11:00 UTC,4024159.12694622,4098098.60214294,11691.5
2017-12-05 16:12:00 UTC,3867774.97739557,3757789.69868709,11689.0
2017-12-05 16:13:00 UTC,3677139.22653224,4305716.59024586,11693.5
2017-12-05 16:14:00 UTC,4354939.96303545,4038015.0858699,11704.5
2017-12-05 16:15:00 UTC,4640559.64986725,4759090.0814835,11670.25
2017-12-05 16:16:00 UTC,4486520.87653747,4867614.45003184,11661.0
2017-12-05 16:17:00 UTC,4243421.5869987,4936725.38932259,11672.5
2017-12-05 16:18:00 UTC,4468515.64412575,4914164.5817355,11678.5
2017-12-05 16:19:00 UTC,4980743.27159302,4874450.91083758,11687.5
2017-12-05 16:20:00 UTC,4321641.29375134,5127011.14059467,11675.0
2017-12-05 16:21:00 UTC,4435545.53911843,5220594.01606701,11672.5
2017-12-05 16:22:00 UTC,4340065.04203714,5179221.86130652,11678.5
2017-12-05 16:23:00 UTC,5044333.67638989,4137973.31466175,11695.0
2017-12-05 16:24:00 UTC,4710989.14327659,4255851.61120748,11697.5
2017-12-05 16:25:00 UTC,4957120.19801938,4311924.23012909,11695.5
2017-12-05 16:26:00 UTC,4969722.5704375,4645792.6100839,11687.5
2017-12-05 16:27:00 UTC,5129071.00248589,4234920.61921125,11689.5
2017-12-05 16:28:00 UTC,4887026.60574452,4699848.60572126,11690.5
