Strategy,TF,Profit % ,Winrate %,CAGR,Drawdown %,Calmar,Sortino,Sharpe,Profit fact.,Pairs %,Best Score,Timestamp,HO
hlhb,1d,54.84,32.38,0.09,21.6,0.4,2.2,0.24,1.24,48.0,135.0,1679070224,1
BinHV27,5m,61.06,60.87,0.17,78.65,0.22,0.83,0.88,1.01,62.0,130.0,1680931923,0
kijun_cross_weak_s,1d,432.35,23.28,0.37,54.39,0.68,1.09,0.28,1.26,50.0,125.0,1683379425,0
FlawlessVictory,15m,399.46,68.32,0.49,86.24,0.57,0.89,1.2,1.02,42.0,125.0,1687756816,1
BbandRsi,5m,34.95,64.73,0.1,85.08,0.12,0.27,0.34,1.01,60.0,120.0,1678655274,1
Heracles,5m,108.47,54.73,0.28,80.21,0.35,0.27,0.27,1.03,56.0,105.0,1678816248,0
TDSequentialStrategy,1d,93.58,11.61,0.13,56.36,0.24,2.65,0.36,1.12,54.0,105.0,1679073115,1
BinHV45,30m,81.53,55.37,0.16,51.92,0.31,1.91,0.87,1.07,56.0,105.0,1679333922,1
SwingHighToSky,5m,782.81,62.06,1.07,81.85,1.3,0.34,0.27,1.07,20.0,100.0,1679067037,1
CMCWinner,1d,20.04,45.45,0.03,32.44,0.11,0.33,0.07,1.18,48.0,100.0,1681749743,1
Scalp,1h,8.04,62.79,0.01,61.68,0.02,0.11,0.13,1.01,44.0,95.0,1678870879,1
Supertrend,4h,210.41,60.58,0.23,80.82,0.29,0.21,0.36,1.03,52.0,95.0,1679123637,0
Gumbo1,15m,132.3,51.09,0.23,54.47,0.43,0.83,1.46,1.07,60.0,89.0,1687866227,1
SmoothScalp,1d,-0.84,93.98,-0.0,4.96,-0.03,-0.0,-0.01,0.9,68.0,30.0,1678905446,0
Quickie,5m,-39.04,94.48,-0.15,88.33,-0.17,-0.21,-0.49,0.98,56.0,-40.0,1681498603,0
SimpleHopt,30m,-92.38,93.82,-0.47,94.81,-0.5,-1.26,-3.29,0.9,52.0,-55.0,1678873031,0
SmoothOperator,5m,-95.97,57.11,-0.66,97.16,-0.68,-11.45,-8.66,0.91,32.0,-85.0,1681730005,0
Uptrend,1h,-78.21,52.09,-0.25,80.38,-0.31,-2.51,-2.27,0.96,28.0,-98.0,1690875858,0
Bandtastic,15m,-30.27,49.45,-0.09,51.18,-0.17,-0.3,-0.53,0.86,46.0,-100.0,1679766895,1
BigZ04_TSL3,1h,-99.73,44.07,-0.67,99.73,-0.67,-8.29,-9.87,0.37,4.0,-122.0,1690212752,0
BigZ04_TSL4,1h,-99.69,44.73,-0.66,99.69,-0.66,-8.5,-9.98,0.41,4.0,-122.0,1690212752,0
